City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Mus,TR,39.0,41.75,75.24,30,0,3.85,clear sky
116,Izhma,RU,65.0083,53.9113,70.93,47,95,8.23,overcast clouds
117,Manta,EC,-0.95,-80.7333,71.04,88,88,5.39,overcast clouds
118,Arraial Do Cabo,BR,-22.9661,-42.0278,66.99,83,100,20.2,overcast clouds
119,Bor,RU,56.3567,44.0669,76.93,48,76,4.79,broken clouds
120,Chuy,UY,-33.6971,-53.4616,49.48,82,100,21.23,overcast clouds
121,Saint-Pierre,RE,-21.3393,55.4781,72.28,70,0,5.75,clear sky
122,Turukhansk,RU,65.8167,87.9833,63.12,46,49,4.88,scattered clouds
123,Sarh,TD,9.1429,18.3923,71.04,98,100,2.28,moderate rain
124,Mar Del Plata,AR,-38.0023,-57.5575,47.12,55,72,11.01,broken clouds
125,Kaniama,CD,-7.5667,24.1833,60.12,47,28,4.94,scattered clouds
126,Taltal,CL,-25.4,-70.4833,57.56,75,98,4.54,overcast clouds
127,Buin,CL,-33.7333,-70.75,56.73,20,0,4.16,clear sky
128,Kahului,US,20.8947,-156.47,77.85,87,28,8.99,scattered clouds
129,Fairbanks,US,64.8378,-147.7164,71.56,55,1,8.05,clear sky
130,Sol-Iletsk,RU,51.1631,54.9918,85.05,38,16,7.94,few clouds
131,Fortuna,US,40.5982,-124.1573,56.32,94,90,8.05,overcast clouds
132,Vestmannaeyjar,IS,63.4427,-20.2734,50.09,90,86,10.38,overcast clouds
133,Barranca,PE,-10.75,-77.7667,61.72,85,90,8.99,overcast clouds
134,Hobart,AU,-42.8794,147.3294,57.06,61,75,1.99,broken clouds
135,Itarema,BR,-2.9248,-39.9167,77.0,87,4,11.05,clear sky
136,Bilma,NE,18.6853,12.9164,86.47,36,94,4.34,overcast clouds
137,Mae Sai,TH,20.4335,99.8762,78.44,97,100,2.06,light rain
138,Alice Springs,AU,-23.7,133.8833,74.21,21,40,11.99,scattered clouds
139,Lagoa,PT,39.05,-27.9833,67.66,80,61,17.67,broken clouds
140,Grand Gaube,MU,-20.0064,57.6608,73.38,68,9,8.01,clear sky
