City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Kununurra,AU,2021-07-19 03:13:19,-15.7667,128.7333,85.98,15,79,8.05
159,Havre-Saint-Pierre,CA,2021-07-19 03:22:29,50.2334,-63.5986,57.2,88,1,2.3
160,Maningrida,AU,2021-07-19 03:21:05,-12.0667,134.2667,87.04,38,7,10.63
161,Redmond,US,2021-07-19 03:22:29,47.674,-122.1215,78.21,59,58,1.01
162,Geraldton,AU,2021-07-19 03:20:33,-28.7667,114.6,61.21,88,90,5.75
163,Sladkovo,RU,2021-07-19 03:22:30,55.5284,70.3385,64.99,60,71,5.12
164,Beloha,MG,2021-07-19 03:15:33,-25.1667,45.05,65.73,87,66,12.06
165,Nikolskoye,RU,2021-07-19 03:16:11,59.7035,30.7861,64.29,77,8,6.73
166,Uruzgan,AF,2021-07-19 03:16:17,32.8333,66.0,85.98,19,25,1.32
167,Chuy,UY,2021-07-19 03:19:43,-33.6971,-53.4616,49.35,81,100,21.83
168,Penzance,GB,2021-07-19 03:22:30,50.1186,-5.5371,61.7,79,76,7.45
169,Leningradskiy,RU,2021-07-19 03:15:38,69.3833,178.4167,37.74,99,100,7.92
170,Itoman,JP,2021-07-19 03:21:34,26.1247,127.6694,89.98,70,40,19.57
171,Tecoanapa,MX,2021-07-19 03:22:31,16.5167,-98.75,80.31,80,59,5.73
172,Bubaque,GW,2021-07-19 03:20:39,11.2833,-15.8333,80.46,82,100,11.65
173,Barreirinhas,BR,2021-07-19 03:22:31,-2.7469,-42.8264,75.22,91,1,5.73
174,Diffa,NE,2021-07-19 03:22:32,13.3154,12.6113,77.61,64,75,9.53
175,Dingle,PH,2021-07-19 03:15:32,10.9995,122.6711,86.7,69,100,16.96
176,Lebu,CL,2021-07-19 03:15:40,-37.6167,-73.65,47.95,74,60,12.41
177,Pevek,RU,2021-07-19 03:16:37,69.7008,170.3133,38.79,89,100,6.96
178,Pavlohrad,UA,2021-07-19 03:22:32,48.5167,35.8667,70.75,79,0,4.9
179,Kalemie,CD,2021-07-19 03:22:32,-5.9475,29.1947,68.34,66,100,4.99
180,Buraydah,SA,2021-07-19 03:18:13,26.326,43.975,84.65,44,34,5.17
181,Abyek,IR,2021-07-19 03:22:33,36.0667,50.55,76.6,44,61,1.25
182,Olinda,BR,2021-07-19 03:19:02,-8.0089,-34.8553,71.33,88,20,4.61
183,Syamzha,RU,2021-07-19 03:22:33,60.0158,41.0614,64.04,67,29,5.08
184,Aksarayskiy,RU,2021-07-19 03:22:34,46.7924,48.0119,80.55,34,4,6.91
185,Chute-Aux-Outardes,CA,2021-07-19 03:22:34,49.1168,-68.399,66.51,82,1,0.0
186,Arraial Do Cabo,BR,2021-07-19 03:15:56,-22.9661,-42.0278,67.68,84,100,21.21
187,Katsuura,JP,2021-07-19 03:21:49,35.1333,140.3,89.71,78,9,10.54
188,Abalak,RU,2021-07-19 03:22:35,58.1286,68.5944,63.82,63,96,7.43
189,Husavik,IS,2021-07-19 03:15:50,66.0449,-17.3389,60.71,81,100,2.33
190,Petropavlovsk-Kamchatskiy,RU,2021-07-19 03:17:48,53.0452,158.6483,55.99,100,75,8.95
191,Te Kauwhata,NZ,2021-07-19 03:22:35,-37.4,175.15,63.5,72,11,8.43
192,Bethel,US,2021-07-19 03:15:46,41.3712,-73.414,75.54,88,40,3.49
193,Cherskiy,RU,2021-07-19 03:16:26,68.75,161.3,52.68,52,99,10.25
194,Tura,IN,2021-07-19 03:16:20,25.5198,90.2201,75.11,98,100,1.63
195,Ponta Do Sol,PT,2021-07-19 03:16:09,32.6667,-17.1,70.72,85,2,2.71
196,Alcudia,ES,2021-07-19 03:22:36,39.8532,3.1214,74.17,70,0,8.28
197,Pangody,RU,2021-07-19 03:17:07,65.85,74.4859,56.97,60,98,9.13
198,Khasan,RU,2021-07-19 03:22:36,42.4308,130.6434,79.63,79,98,8.32
199,Broken Hill,AU,2021-07-19 03:13:17,-31.95,141.4333,57.38,36,89,13.94
200,Klaksvik,FO,2021-07-19 03:17:36,62.2266,-6.589,49.12,88,4,4.0
201,Ewa Beach,US,2021-07-19 03:22:37,21.3156,-158.0072,84.15,60,40,21.0
202,Wenling,CN,2021-07-19 03:22:37,28.3669,121.36,87.91,76,100,4.61
203,Beira,MZ,2021-07-19 03:22:37,-19.8436,34.8389,62.06,77,0,11.5
204,Sakakah,SA,2021-07-19 03:20:04,29.9697,40.2064,92.77,15,36,10.87
205,Aylmer,CA,2021-07-19 03:22:38,42.7668,-80.983,67.91,76,1,9.19
